style,content,TV,time
2.01E+09,2.20E+12,3.16E+06,25:52.7
1.96E+09,2.20E+12,3.16E+06,26:00.9
1.95E+09,2.20E+12,3.16E+06,26:09.1
1.98E+09,2.20E+12,3.16E+06,26:17.4
2.40E+09,2.19E+12,3.14E+06,26:25.8
2.51E+09,2.20E+12,3.16E+06,26:34.3
2.11E+09,2.21E+12,3.12E+06,26:42.7
1.96E+09,2.21E+12,3.15E+06,26:50.9
1.88E+09,2.21E+12,3.15E+06,26:59.1
1.83E+09,2.21E+12,3.14E+06,27:07.4
1.80E+09,2.21E+12,3.14E+06,27:15.6
1.77E+09,2.21E+12,3.14E+06,27:24.0
1.74E+09,2.21E+12,3.14E+06,27:32.2
1.72E+09,2.21E+12,3.14E+06,27:40.4
1.70E+09,2.21E+12,3.14E+06,27:48.6
1.68E+09,2.21E+12,3.14E+06,27:56.8
1.66E+09,2.21E+12,3.14E+06,28:05.0
1.65E+09,2.21E+12,3.14E+06,28:13.4
1.63E+09,2.21E+12,3.14E+06,28:21.5
1.68E+09,2.23E+12,3.14E+06,28:29.7
1.62E+09,2.22E+12,3.13E+06,28:37.9
1.59E+09,2.22E+12,3.13E+06,28:46.1
1.57E+09,2.22E+12,3.13E+06,28:54.4
1.55E+09,2.22E+12,3.13E+06,29:02.6
1.54E+09,2.21E+12,3.13E+06,29:10.8
1.63E+09,2.20E+12,3.13E+06,29:18.9
1.68E+09,2.22E+12,3.13E+06,29:27.1
4.05E+09,2.20E+12,3.08E+06,29:35.3
2.71E+09,2.19E+12,3.07E+06,29:43.4
2.15E+09,2.21E+12,3.10E+06,29:51.6
1.88E+09,2.22E+12,3.11E+06,29:59.9
1.74E+09,2.22E+12,3.13E+06,30:08.0
1.65E+09,2.22E+12,3.12E+06,30:16.3
