style,content,TV,time
3.73567E+11,2.45268E+11,37714.7,00:26.5
3.73614E+11,2.40206E+11,39201.7,00:37.5
3.70918E+11,2.45522E+11,39517.9,00:48.2
3.73256E+11,2.40668E+11,38778.8,00:59.2
3.70982E+11,2.4354E+11,39762.2,01:09.9
3.73247E+11,2.3942E+11,38821.7,01:20.7
3.72474E+11,2.36906E+11,39354.8,01:31.7
3.71413E+11,2.49115E+11,39116.9,01:42.3
3.73788E+11,2.36674E+11,38872.8,01:53.0
3.71678E+11,2.3741E+11,39790.7,02:03.6
3.70533E+11,2.41648E+11,39836.1,02:14.3
3.72079E+11,2.37065E+11,39338.4,02:25.0
3.72006E+11,2.38198E+11,39382.9,02:35.7
3.72995E+11,2.33704E+11,39207.1,02:46.3
3.73476E+11,2.35726E+11,38846.2,02:57.0
3.70162E+11,2.45638E+11,40410.8,03:07.7
3.73118E+11,2.35741E+11,38711,03:18.4
3.71834E+11,2.35117E+11,39524.4,03:29.2
3.74207E+11,2.41389E+11,37232,03:39.9
3.74854E+11,2.35612E+11,37553.6,03:50.9
3.70279E+11,2.52859E+11,39435.7,04:01.9
3.74252E+11,2.3733E+11,38862.3,04:13.0
3.72355E+11,2.3109E+11,39240.6,04:24.0
3.72795E+11,2.30394E+11,38980.4,04:34.8
3.70106E+11,2.46505E+11,39641,04:45.5
3.71497E+11,2.32987E+11,39277.5,04:56.4
3.72531E+11,2.28367E+11,39421.7,05:07.4
3.71575E+11,2.32043E+11,39105.7,05:18.1
3.71866E+11,2.31224E+11,39443.9,05:29.0
3.72908E+11,2.36053E+11,38488.9,05:39.8
3.74764E+11,2.31399E+11,38695.5,05:50.6
3.70702E+11,2.34548E+11,40324.4,06:01.3
