style,content,TV,time
157989000000,115645000000,2106830,17:01:42.669774
157508000000,114712000000,2106060,17:01:51.982111
157456000000,114065000000,2096320,17:02:01.289835
157138000000,114021000000,2095840,17:02:10.583178
157358000000,113709000000,2093950,17:02:19.873134
157204000000,113660000000,2092680,17:02:29.165339
157166000000,114044000000,2090070,17:02:38.458410
156261000000,115082000000,2095250,17:02:47.752729
156981000000,113895000000,2088860,17:02:57.045548
156626000000,113855000000,2089220,17:03:06.329865
156537000000,114523000000,2096410,17:03:15.627202
156535000000,116382000000,2086680,17:03:24.915073
156671000000,113691000000,2093590,17:03:34.204333
